DFF C23
188 CE8
CC8 1BA
D9D 2E8
044 090
0B4 FBF
1D1 037
1DE 1B0
3DA CD6
D1E 183
D83 E69
C4D 1F6
DC9 137
110 049
182 EDA
F75 2DC
33E EEC
14B F9A
227 F29
CB4 F29
D73 041
235 1CD
3FC CDA
132 244
D7B C0A
C1F 1F1
C59 FF2
C2E 27F
E07 C14
C16 F5B
00E D90
CCD 232
341 E19
2AD C30
F51 20E
3EE C71
18F 29F
F5A F6A
F5C E16
FEF 179
00B 270
263 350
C09 C48
176 01D
1CC 107
EAC CBA
35F 39F
15D 26A
14C 2F0
FBC F72
1CD CE2
3A3 261
32D F12
EB1 348
EAF D0F
ED1 182
275 C0C
DF3 EA6
F7E EFF
F36 F75
E82 0CD
DA1 D79
CA0 286
275 CFC
000 000
